site,Sx,Sy,Sz
244,9.879656771502598e-16,0j,-1.3613242477727994e-15
245,-9.936496070395151e-15,0j,-4.565792188770956e-15
246,8.252621676307914e-15,0j,4.489681196262474e-15
247,-1.4405143744511406e-14,0j,-5.4817261840867104e-15
248,1.3271549386805609e-15,0j,1.942890293094024e-15
249,7.565174183239297e-17,0j,-6.938893903907228e-16
250,6.928865033811737e-16,0j,-2.1974609631936204e-15
251,4.663128132871737e-18,0j,1.429412144204889e-14
252,-2.1480755542369057e-15,0j,-3.246806035833716e-15
253,1.1518563880485999e-14,0j,1.2739809207573671e-14
254,1.3989455210569601e-13,0j,-1.6534733651707434e-14
255,-1.4595264016467602e-13,0j,1.913334941872069e-14
